Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Recovery
0-1.1	2024-02-13_0hr_Wire+Media_1_A-F	355.822	6.037717792	0	Wire included	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	1	0.9901
0-1.2	2024-02-13_0hr_Wire+Media_1_F-A	325.801	5.528310488	0	Wire included	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	1	0.9901
0-2.1	2024-02-13_0hr_Wire+Media_2_A-F	288.152	4.889468491	0	Wire included	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	2	0.9901
0-2.2	2024-02-13_0hr_Wire+Media_2_F-A	315.47	5.353010303	0	Wire included	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	2	0.9901
0-3.1	2024-02-13_0hr_NoWire+Media_3_A-F	117.311	1.990575939	0	No wire	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	3	
0-3.2	2024-02-13_0hr_NoWire+Media_3_F-A	125.661	2.132261792	0	No wire	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	3	
0-4.1	2024-02-13_0hr_NoWire+Media_4_A-F	112.103	1.902204691	0	No wire	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	4	
0-4.2	2024-02-13_0hr_NoWire+Media_4_F-A	116.933	1.984161897	0	No wire	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	4	
0-5.1	2024-02-13_0hr_Wire+Media+DMSO_5_A-F	225.212	3.821479558	0	Wire included	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	5	
0-5.2	2024-02-13_0hr_Wire+Media+DMSO_5_F-A	227.839	3.866055455	0	Wire included	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	5	
0-6.1	2024-02-13_0hr_Wire+Media+DMSO_6_A-F	205.941	3.494482184	0	Wire included	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	6	
0-6.2	2024-02-13_0hr_Wire+Media+DMSO_6_F-A	212.285	3.602129496	0	Wire included	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	6	
0-7.1	2024-02-13_0hr_NoWire+Media+DMSO_7_A-F	110.293	1.871491949	0	No wire	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	7	
0-7.2	2024-02-13_0hr_NoWire+Media+DMSO_7_F-A	116.389	1.974931106	0	No wire	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	7	
0-8.1	2024-02-13_0hr_NoWire+Media+DMSO_8_A-F	106.395	1.80534926	0	No wire	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	8	
0-8.2	2024-02-13_0hr_NoWire+Media+DMSO_8_F-A	103.103	1.749489401	0	No wire	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	8	
0-9.1	2024-02-13_0hr_Wire+10%inoc_9_A-F	289.932	4.919672181	0	Wire included	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	9	0.9405
0-9.2	2024-02-13_0hr_Wire+10%inoc_9_F-A	277.722	4.712488437	0	Wire included	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	9	0.9405
0-10.1	2024-02-13_0hr_Wire+10%inoc_10_A-F	284.022	4.819389141	0	Wire included	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	10	0.9405
0-10.2	2024-02-13_0hr_Wire+10%inoc_10_F-A	291.298	4.942850969	0	Wire included	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	10	0.9405
0-11.1	2024-02-13_0hr_NoWire+10%inoc_11_A-F	180.993	3.071155399	0	No wire	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	11	
0-11.2	2024-02-13_0hr_NoWire+10%inoc_11_F-A	119.411	2.026209507	0	No wire	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	11	
0-12.1	2024-02-13_0hr_NoWire+10%inoc_12_A-F	120.517	2.04497652	0	No wire	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	12	
0-12.2	2024-02-13_0hr_NoWire+10%inoc_12_F-A	115.207	1.954874498	0	No wire	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	12	
0-13.1	2024-02-13_0hr_Wire+10%inoc+DMSO_13_A-F	239.113	4.057356809	0	Wire included	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	13	
0-13.2	2024-02-13_0hr_Wire+10%inoc+DMSO_13_F-A	210.364	3.569533266	0	Wire included	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	13	
0-14.1	2024-02-13_0hr_Wire+10%inoc+DMSO_14_A-F	209.714	3.558503828	0	Wire included	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	14	
