Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Recovery	Cobalt_concentration_uM_corrected	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Cell_presence	Mean_cobalt_concentration_uM_corrected	Median_cobalt_concentration_uM_corrected	Stdev_cobalt_concentration_uM_corrected	Min_cobalt_concentration_uM_corrected	Max_cobalt_concentration_uM_corrected
0-2.1	2024-02-13_0hr_Wire+Media_2_A-F	288.152	4.889468491	1.010066	4.840741586	0	Wire included	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	2	No cells	2.817877979	2.583033743	0.835910955	2.067044174	4.840741586
0-2.2	2024-02-13_0hr_Wire+Media_2_F-A	315.47	5.353010303	1.008405	5.308393258	0	Wire included	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	2	No cells	3.775182065	3.394191611	1.382661007	2.622961326	5.308393258
0-3.1	2024-02-13_0hr_NoWire+Media_3_A-F	117.311	1.990575939	1	1.990575939	0	No wire	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	3	No cells	1.728083807	1.689548649	0.119598698	1.611485683	1.990575939
0-3.2	2024-02-13_0hr_NoWire+Media_3_F-A	125.661	2.132261792	1	2.132261792	0	No wire	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	3	No cells	1.883615847	1.860055271	0.211622431	1.682091052	2.132261792
0-4.1	2024-02-13_0hr_NoWire+Media_4_A-F	112.103	1.902204691	1	1.902204691	0	No wire	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	4	No cells	1.728083807	1.689548649	0.119598698	1.611485683	1.990575939
0-4.2	2024-02-13_0hr_NoWire+Media_4_F-A	116.933	1.984161897	1	1.984161897	0	No wire	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	4	No cells	1.883615847	1.860055271	0.211622431	1.682091052	2.132261792
0-5.1	2024-02-13_0hr_Wire+Media+DMSO_5_A-F	225.212	3.821479558	0.970721	3.93674347	0	Wire included	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	5	No cells	2.90020256	2.806684568	0.979910971	2.050697636	3.93674347
0-5.2	2024-02-13_0hr_Wire+Media+DMSO_5_F-A	227.839	3.866055455	0.952422	4.059609518	0	Wire included	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	5	No cells	2.993809081	2.921447414	1.032467533	2.072731979	4.059609518
0-6.1	2024-02-13_0hr_Wire+Media+DMSO_6_A-F	205.941	3.494482184	0.987942	3.537132933	0	Wire included	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	6	No cells	2.90020256	2.806684568	0.979910971	2.050697636	3.93674347
0-6.2	2024-02-13_0hr_Wire+Media+DMSO_6_F-A	212.285	3.602129496	0.97432	3.69707026	0	Wire included	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	6	No cells	2.993809081	2.921447414	1.032467533	2.072731979	4.059609518
0-7.1	2024-02-13_0hr_NoWire+Media+DMSO_7_A-F	110.293	1.871491949	1	1.871491949	0	No wire	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	7	No cells	1.680801457	1.672800872	0.184522259	1.506112133	1.871491949
0-7.2	2024-02-13_0hr_NoWire+Media+DMSO_7_F-A	116.389	1.974931106	1	1.974931106	0	No wire	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	7	No cells	1.697786791	1.642537793	0.210999339	1.531140472	1.974931106
0-8.1	2024-02-13_0hr_NoWire+Media+DMSO_8_A-F	106.395	1.80534926	1	1.80534926	0	No wire	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	8	No cells	1.680801457	1.672800872	0.184522259	1.506112133	1.871491949
0-8.2	2024-02-13_0hr_NoWire+Media+DMSO_8_F-A	103.103	1.749489401	1	1.749489401	0	No wire	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	8	No cells	1.697786791	1.642537793	0.210999339	1.531140472	1.974931106
0-9.1	2024-02-13_0hr_Wire+10%inoc_9_A-F	289.932	4.919672181	1.00415	4.89933992	0	Wire included	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	9	Live cells	3.424299274	3.132603699	1.273999357	1.910280767	4.940135944
0-9.2	2024-02-13_0hr_Wire+10%inoc_9_F-A	277.722	4.712488437	0.903513	5.215739494	0	Wire included	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	9	Live cells	3.834055022	3.852501406	1.785693744	2.105651153	5.525566121
0-10.1	2024-02-13_0hr_Wire+10%inoc_10_A-F	284.022	4.819389141	0.975558	4.940135944	0	Wire included	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	10	Live cells	3.424299274	3.132603699	1.273999357	1.910280767	4.940135944
0-10.2	2024-02-13_0hr_Wire+10%inoc_10_F-A	291.298	4.942850969	0.894542	5.525566121	0	Wire included	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	10	Live cells	3.834055022	3.852501406	1.785693744	2.105651153	5.525566121
0-11.1	2024-02-13_0hr_NoWire+10%inoc_11_A-F	180.993	3.071155399	1	3.071155399	0	No wire	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	11	Live cells	1.980230893	1.702520965	0.553051272	1.663374945	3.071155399
0-11.2	2024-02-13_0hr_NoWire+10%inoc_11_F-A	119.411	2.026209507	1	2.026209507	0	No wire	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	11	Live cells	1.808670818	1.794124687	0.212084355	1.620224391	2.026209507
0-12.1	2024-02-13_0hr_NoWire+10%inoc_12_A-F	120.517	2.04497652	1	2.04497652	0	No wire	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	12	Live cells	1.980230893	1.702520965	0.553051272	1.663374945	3.071155399
0-12.2	2024-02-13_0hr_NoWire+10%inoc_12_F-A	115.207	1.954874498	1	1.954874498	0	No wire	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	12	Live cells	1.808670818	1.794124687	0.212084355	1.620224391	2.026209507
0-13.1	2024-02-13_0hr_Wire+10%inoc+DMSO_13_A-F	239.113	4.057356809	0.994774	4.078671949	0	Wire included	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	13	Live cells	2.923502564	2.845457654	1.0617349	1.924423	4.078671949
0-13.2	2024-02-13_0hr_Wire+10%inoc+DMSO_13_F-A	210.364	3.569533266	0.965511	3.697040496	0	Wire included	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	13	Live cells	2.676250565	2.611303666	0.996441485	1.785354431	3.697040496
0-14.1	2024-02-13_0hr_Wire+10%inoc+DMSO_14_A-F	209.714	3.558503828	0.998022	3.565556499	0	Wire included	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	14	Live cells	2.923502564	2.845457654	1.0617349	1.924423	4.078671949
0-14.2	2024-02-13_0hr_Wire+10%inoc+DMSO_14_F-A	195.517	3.317603941	0.986068	3.364477846	0	Wire included	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	14	Live cells	2.676250565	2.611303666	0.996441485	1.785354431	3.697040496
0-15.1	2024-02-13_0hr_NoWire+10%inoc+DMSO_15_A-F	109.286	1.854404805	1	1.854404805	0	No wire	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	15	Live cells	1.701846472	1.697455908	0.234602078	1.465642581	1.946831493
0-15.2	2024-02-13_0hr_NoWire+10%inoc+DMSO_15_F-A	111.687	1.895145851	1	1.895145851	0	No wire	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	15	Live cells	1.675910325	1.666140789	0.210186672	1.476213872	1.895145851
0-16.1	2024-02-13_0hr_NoWire+10%inoc+DMSO_16_A-F	114.733	1.946831493	1	1.946831493	0	No wire	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	16	Live cells	1.701846472	1.697455908	0.234602078	1.465642581	1.946831493
0-16.2	2024-02-13_0hr_NoWire+10%inoc+DMSO_16_F-A	106.972	1.815140007	1	1.815140007	0	No wire	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	16	Live cells	1.675910325	1.666140789	0.210186672	1.476213872	1.895145851
24-2.1	2024-02-14_24hr_Wire+Media_2_A-F	5212.481	88.4472834	1.010066	87.5658456	24	Wire included	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	2	No cells	143.523481	140.962607	37.08919366	87.5658456	203.3832219
24-2.2	2024-02-14_24hr_Wire+Media_2_F-A	7395.238	125.4851022	1.008405	124.4391908	24	Wire included	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	2	No cells	126.3691699	124.4391908	7.897566609	119.6154845	135.0528345
24-3.1	2024-02-14_24hr_NoWire+Media_3_A-F	55.11	0.935126629	1	0.935126629	24	No wire	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	3	No cells	1.55412582	1.66871998	0.351524059	0.916088123	2.036203875
24-3.2	2024-02-14_24hr_NoWire+Media_3_F-A	141.95	2.4086595	1	2.4086595	24	No wire	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	3	No cells	2.006517719	1.982354767	0.381660778	1.652701843	2.4086595
24-4.1	2024-02-14_24hr_NoWire+Media_4_A-F	53.988	0.916088123	1	0.916088123	24	No wire	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	4	No cells	1.55412582	1.66871998	0.351524059	0.916088123	2.036203875
24-4.2	2024-02-14_24hr_NoWire+Media_4_F-A	132.908	2.255231538	1	2.255231538	24	No wire	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	4	No cells	2.006517719	1.982354767	0.381660778	1.652701843	2.4086595
24-5.1	2024-02-14_24hr_Wire+Media+DMSO_5_A-F	7028.212	119.2572709	0.970721	122.8543226	24	Wire included	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	5	No cells	90.38371772	94.6862936	44.24746753	40.18674787	131.9755358
24-5.2	2024-02-14_24hr_Wire+Media+DMSO_5_F-A	2154.344	36.55569667	0.952422	38.38585759	24	Wire included	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	5	No cells	31.49281878	31.13758469	6.057529347	25.31024815	38.38585759
24-6.1	2024-02-14_24hr_Wire+Media+DMSO_6_A-F	7683.956	130.3841748	0.987942	131.9755358	24	Wire included	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	6	No cells	90.38371772	94.6862936	44.24746753	40.18674787	131.9755358
24-6.2	2024-02-14_24hr_Wire+Media+DMSO_6_F-A	1987.196	33.71946829	0.97432	34.60820705	24	Wire included	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	6	No cells	31.49281878	31.13758469	6.057529347	25.31024815	38.38585759
24-7.1	2024-02-14_24hr_NoWire+Media+DMSO_7_A-F	95.283	1.616796782	1	1.616796782	24	No wire	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	7	No cells	1.548957256	1.558866781	0.065022454	1.461298679	1.616796782
