Short_name	Sample_name	Dilution	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Sample_preservation	Spike_concentration	Replicate	Mean_cobalt_concentration_uM	Median_cobalt_concentration_uM	Stdev_cobalt_concentration_uM
0.1 F-A 32hr	2025-12-16_32hr_10%inoc+0µMCo2+_1_F-A	10	90	1.527152906	"Filtered, acidified"	0	1	1.442311078	1.442311078	0.092939566
0.1 A-F 32hr	2025-12-16_32hr_10%inoc+0µMCo2+_1_A-F	10	80	1.35746925	"Acidified, filtered"	0	1	1.35746925	1.35746925	0
0.2 F-A 32hr	2025-12-16_32hr_10%inoc+0µMCo2+_2_F-A	10	80	1.35746925	"Filtered, acidified"	0	2	1.442311078	1.442311078	0.092939566
0.2 A-F 32hr	2025-12-16_32hr_10%inoc+0µMCo2+_2_A-F	10	80	1.35746925	"Acidified, filtered"	0	2	1.35746925	1.35746925	0
0.3 F-A 32hr	2025-12-16_32hr_10%inoc+0µMCo2+_3_F-A	10	80	1.35746925	"Filtered, acidified"	0	3	1.442311078	1.442311078	0.092939566
0.3 A-F 32hr	2025-12-16_32hr_10%inoc+0µMCo2+_3_A-F	10	80	1.35746925	"Acidified, filtered"	0	3	1.35746925	1.35746925	0
2.1 F-A 32hr	2025-12-16_32hr_10%inoc+2µMCo2+_1_F-A	10	170	2.884622156	"Filtered, acidified"	2	1	2.856341546	2.884622156	0.069273063
2.1 A-F 32hr	2025-12-16_32hr_10%inoc+2µMCo2+_1_A-F	10	170	2.884622156	"Acidified, filtered"	2	1	2.856341546	2.884622156	0.069273063
2.2 F-A 32hr	2025-12-16_32hr_10%inoc+2µMCo2+_2_F-A	10	170	2.884622156	"Filtered, acidified"	2	2	2.856341546	2.884622156	0.069273063
2.2 A-F 32hr	2025-12-16_32hr_10%inoc+2µMCo2+_2_A-F	10	170	2.884622156	"Acidified, filtered"	2	2	2.856341546	2.884622156	0.069273063
2.3 F-A 32hr	2025-12-16_32hr_10%inoc+2µMCo2+_3_F-A	10	170	2.884622156	"Filtered, acidified"	2	3	2.856341546	2.884622156	0.069273063
2.3 A-F 32hr	2025-12-16_32hr_10%inoc+2µMCo2+_3_A-F	10	170	2.884622156	"Acidified, filtered"	2	3	2.856341546	2.884622156	0.069273063
20.1 F-A 32hr	2025-12-16_32hr_10%inoc+20µMCo2+_1_F-A	10	890	15.1018454	"Filtered, acidified"	20	1	15.01700357	15.01700358	0.397943449
20.1 A-F 32hr	2025-12-16_32hr_10%inoc+20µMCo2+_1_A-F	10	930	15.78058003	"Acidified, filtered"	20	1	16.68555953	16.71384014	0.709161302
20.2 F-A 32hr	2025-12-16_32hr_10%inoc+20µMCo2+_2_F-A	10	910	15.44121272	"Filtered, acidified"	20	2	15.01700357	15.01700358	0.397943449
20.2 A-F 32hr	2025-12-16_32hr_10%inoc+20µMCo2+_2_A-F	10	960	16.289631	"Acidified, filtered"	20	2	16.68555953	16.71384014	0.709161302
20.3 F-A 32hr	2025-12-16_32hr_10%inoc+20µMCo2+_3_F-A	10	850	14.42311078	"Filtered, acidified"	20	3	15.01700357	15.01700358	0.397943449
20.3 A-F 32hr	2025-12-16_32hr_10%inoc+20µMCo2+_3_A-F	10	950	16.11994734	"Acidified, filtered"	20	3	16.68555953	16.71384014	0.709161302
200.1 F-A 32hr	2025-12-16_32hr_10%inoc+200µMCo2+_1_F-A	20	8920	151.3578213	"Filtered, acidified"	200	1	162.0478917	160.1813715	8.323152002
200.1 A-F 32hr	2025-12-16_32hr_10%inoc+200µMCo2+_1_A-F	20	10060	170.7017582	"Acidified, filtered"	200	1	170.4189521	170.7017582	8.402111446
200.2 F-A 32hr	2025-12-16_32hr_10%inoc+200µMCo2+_2_F-A	20	9360	158.8239022	"Filtered, acidified"	200	2	162.0478917	160.1813715	8.323152002
200.2 A-F 32hr	2025-12-16_32hr_10%inoc+200µMCo2+_2_A-F	20	9600	162.89631	"Acidified, filtered"	200	2	170.4189521	170.7017582	8.402111446
200.3 F-A 32hr	2025-12-16_32hr_10%inoc+200µMCo2+_3_F-A	20	9240	156.7876983	"Filtered, acidified"	200	3	162.0478917	160.1813715	8.323152002
200.3 A-F 32hr	2025-12-16_32hr_10%inoc+200µMCo2+_3_A-F	20	9380	159.1632695	"Acidified, filtered"	200	3	170.4189521	170.7017582	8.402111446
2000.1 F-A 32hr	2025-12-16_32hr_10%inoc+2000µMCo2+_1_F-A	20	74900	1270.930585	"Filtered, acidified"	2000	1	1497.232021	1510.693591	167.2222806
2000.1 A-F 32hr	2025-12-16_32hr_10%inoc+2000µMCo2+_1_A-F	20	89780	1523.419865	"Acidified, filtered"	2000	1	1625.625988	1610.297898	74.54391858
