"Short_name"	"Sample_name"	"Dilution"	"Cobalt_concentration_ug_L"	"Cobalt_concentration_uM"	"Sample_preservation"	"Spike_concentration"	"Replicate"	"Mean_cobalt_concentration_uM"	"Median_cobalt_concentration_uM"	"Stdev_cobalt_concentration_uM"
"0.1 F-A 32hr"	"2025-12-16_32hr_10%inoc+0µMCo2+_1_F-A"	"10"	90	1.52715290593018	"Filtered, acidified"	0	"1"	1.41403046845387	1.35746924971572	0.097966904592501
"0.1 A-F 32hr"	"2025-12-16_32hr_10%inoc+0µMCo2+_1_A-F"	"10"	80	1.35746924971572	"Acidified, filtered"	0	"1"	1.35746924971572	1.35746924971572	0
"0.2 F-A 32hr"	"2025-12-16_32hr_10%inoc+0µMCo2+_2_F-A"	"10"	80	1.35746924971572	"Filtered, acidified"	0	"2"	1.41403046845387	1.35746924971572	0.097966904592501
"0.2 A-F 32hr"	"2025-12-16_32hr_10%inoc+0µMCo2+_2_A-F"	"10"	80	1.35746924971572	"Acidified, filtered"	0	"2"	1.35746924971572	1.35746924971572	0
"0.3 F-A 32hr"	"2025-12-16_32hr_10%inoc+0µMCo2+_3_F-A"	"10"	80	1.35746924971572	"Filtered, acidified"	0	"3"	1.41403046845387	1.35746924971572	0.097966904592501
"0.3 A-F 32hr"	"2025-12-16_32hr_10%inoc+0µMCo2+_3_A-F"	"10"	80	1.35746924971572	"Acidified, filtered"	0	"3"	1.35746924971572	1.35746924971572	0
"2.1 F-A 32hr"	"2025-12-16_32hr_10%inoc+2µMCo2+_1_F-A"	"10"	170	2.8846221556459	"Filtered, acidified"	2	"1"	2.8846221556459	2.8846221556459	0
"2.1 A-F 32hr"	"2025-12-16_32hr_10%inoc+2µMCo2+_1_A-F"	"10"	170	2.8846221556459	"Acidified, filtered"	2	"1"	2.8846221556459	2.8846221556459	0
"2.2 F-A 32hr"	"2025-12-16_32hr_10%inoc+2µMCo2+_2_F-A"	"10"	170	2.8846221556459	"Filtered, acidified"	2	"2"	2.8846221556459	2.8846221556459	0
"2.2 A-F 32hr"	"2025-12-16_32hr_10%inoc+2µMCo2+_2_A-F"	"10"	170	2.8846221556459	"Acidified, filtered"	2	"2"	2.8846221556459	2.8846221556459	0
"2.3 F-A 32hr"	"2025-12-16_32hr_10%inoc+2µMCo2+_3_F-A"	"10"	170	2.8846221556459	"Filtered, acidified"	2	"3"	2.8846221556459	2.8846221556459	0
"2.3 A-F 32hr"	"2025-12-16_32hr_10%inoc+2µMCo2+_3_A-F"	"10"	170	2.8846221556459	"Acidified, filtered"	2	"3"	2.8846221556459	2.8846221556459	0
"20.1 F-A 32hr"	"2025-12-16_32hr_10%inoc+20µMCo2+_1_F-A"	"10"	890	15.1018454030873	"Filtered, acidified"	20	"1"	14.988722965611	15.1018454030873	0.518392132533097
"20.1 A-F 32hr"	"2025-12-16_32hr_10%inoc+20µMCo2+_1_A-F"	"10"	930	15.7805800279452	"Acidified, filtered"	20	"1"	16.063386121636	16.1199473403741	0.259196066266549
"20.2 F-A 32hr"	"2025-12-16_32hr_10%inoc+20µMCo2+_2_F-A"	"10"	910	15.4412127155163	"Filtered, acidified"	20	"2"	14.988722965611	15.1018454030873	0.518392132533097
"20.2 A-F 32hr"	"2025-12-16_32hr_10%inoc+20µMCo2+_2_A-F"	"10"	960	16.2896309965886	"Acidified, filtered"	20	"2"	16.063386121636	16.1199473403741	0.259196066266549
"20.3 F-A 32hr"	"2025-12-16_32hr_10%inoc+20µMCo2+_3_F-A"	"10"	850	14.4231107782295	"Filtered, acidified"	20	"3"	14.988722965611	15.1018454030873	0.518392132533097
"20.3 A-F 32hr"	"2025-12-16_32hr_10%inoc+20µMCo2+_3_A-F"	"10"	950	16.1199473403741	"Acidified, filtered"	20	"3"	16.063386121636	16.1199473403741	0.259196066266549
"200.1 F-A 32hr"	"2025-12-16_32hr_10%inoc+200µMCo2+_1_F-A"	"20"	8920	151.357821343302	"Filtered, acidified"	200	"1"	155.656473967402	156.787698342165	3.85944845045468
"200.1 A-F 32hr"	"2025-12-16_32hr_10%inoc+200µMCo2+_1_A-F"	"20"	10060	170.701758151751	"Acidified, filtered"	200	"1"	164.253779215602	162.896309965886	5.88780281567885
"200.2 F-A 32hr"	"2025-12-16_32hr_10%inoc+200µMCo2+_2_F-A"	"20"	9360	158.823902216739	"Filtered, acidified"	200	"2"	155.656473967402	156.787698342165	3.85944845045468
"200.2 A-F 32hr"	"2025-12-16_32hr_10%inoc+200µMCo2+_2_A-F"	"20"	9600	162.896309965886	"Acidified, filtered"	200	"2"	164.253779215602	162.896309965886	5.88780281567885
"200.3 F-A 32hr"	"2025-12-16_32hr_10%inoc+200µMCo2+_3_F-A"	"20"	9240	156.787698342165	"Filtered, acidified"	200	"3"	155.656473967402	156.787698342165	3.85944845045468
"200.3 A-F 32hr"	"2025-12-16_32hr_10%inoc+200µMCo2+_3_A-F"	"20"	9380	159.163269529168	"Acidified, filtered"	200	"3"	164.253779215602	162.896309965886	5.88780281567885
"2000.1 F-A 32hr"	"2025-12-16_32hr_10%inoc+2000µMCo2+_1_F-A"	"20"	74900	1270.93058504634	"Filtered, acidified"	2000	"1"	1447.51470994686	1348.30633228014	241.956359534574
"2000.1 A-F 32hr"	"2025-12-16_32hr_10%inoc+2000µMCo2+_1_A-F"	"20"	89780	1523.41986549346	"Acidified, filtered"	2000	"1"	1581.33855348133	1596.72320497811	51.963478425425
"2000.2 F-A 32hr"	"2025-12-16_32hr_10%inoc+2000µMCo2+_2_F-A"	"20"	79460	1348.30633228014	"Filtered, acidified"	2000	"2"	1447.51470994686	1348.30633228014	241.956359534574
"2000.2 A-F 32hr"	"2025-12-16_32hr_10%inoc+2000µMCo2+_2_A-F"	"20"	94100	1596.72320497811	"Acidified, filtered"	2000	"2"	1581.33855348133	1596.72320497811	51.963478425425
"2000.3 F-A 32hr"	"2025-12-16_32hr_10%inoc+2000µMCo2+_3_F-A"	"20"	101560	1723.3072125141	"Filtered, acidified"	2000	"3"	1447.51470994686	1348.30633228014	241.956359534574
"2000.3 A-F 32hr"	"2025-12-16_32hr_10%inoc+2000µMCo2+_3_A-F"	"20"	95700	1623.87258997243	"Acidified, filtered"	2000	"3"	1581.33855348133	1596.72320497811	51.963478425425
