"Sample_name"	"Comment"	"Flask_number"	"Replicate_number"	"Colony_count"	"Volume_plated_mL"	"Dilution_applied"	"CFU_mL"
"0-5.1"	"2024-05-14_0hr_Wire+10%inoc_5_A-F"	5.1	1	358	0.1	1e+05	3.58e+08
"0-5.1"	"2024-05-14_0hr_Wire+10%inoc_5_A-F"	5.1	2	316	0.1	100001	316003160
"0-5.1"	"2024-05-14_0hr_Wire+10%inoc_5_A-F"	5.1	3	331	0.1	100002	331006620
"0-6.1"	"2024-05-14_0hr_NoWire+10%inoc_6_A-F"	6.1	1	409	0.1	100003	409012270
"0-6.1"	"2024-05-14_0hr_NoWire+10%inoc_6_A-F"	6.1	2	408	0.1	100004	408016320
"0-6.1"	"2024-05-14_0hr_NoWire+10%inoc_6_A-F"	6.1	3	393	0.1	100005	393019650
"0-7.1"	"2024-05-14_0hr_Wire+10%inoc+DMSO_7_A-F"	7.1	1	343	0.1	100006	343020580
"0-7.1"	"2024-05-14_0hr_Wire+10%inoc+DMSO_7_A-F"	7.1	2	361	0.1	100007	361025270
"0-7.1"	"2024-05-14_0hr_Wire+10%inoc+DMSO_7_A-F"	7.1	3	339	0.1	100008	339027120
"0-8.1"	"2024-05-14_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	1	716	0.1	100009	716064440
"0-8.1"	"2024-05-14_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	2	393	0.1	100010	393039300
"0-8.1"	"2024-05-14_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	3	321	0.1	100011	321035310
"24-5.1"	"2024-05-15_24hr_Wire+10%inoc_5_A-F"	5.1	1	72	0.1	1e+06	7.2e+08
"24-5.1"	"2024-05-15_24hr_Wire+10%inoc_5_A-F"	5.1	2	62	0.1	1e+06	6.2e+08
"24-5.1"	"2024-05-15_24hr_Wire+10%inoc_5_A-F"	5.1	3	58	0.1	1e+06	5.8e+08
"24-6.1"	"2024-05-15_24hr_NoWire+10%inoc_6_A-F"	6.1	1	490	0.1	1e+06	4.9e+09
"24-6.1"	"2024-05-15_24hr_NoWire+10%inoc_6_A-F"	6.1	2	470	0.1	1e+06	4.7e+09
"24-6.1"	"2024-05-15_24hr_NoWire+10%inoc_6_A-F"	6.1	3	429	0.1	1e+06	4.29e+09
"24-7.1"	"2024-05-15_24hr_Wire+10%inoc+DMSO_7_A-F"	7.1	1	36	0.1	1e+06	3.6e+08
"24-7.1"	"2024-05-15_24hr_Wire+10%inoc+DMSO_7_A-F"	7.1	2	54	0.1	1e+06	5.4e+08
"24-7.1"	"2024-05-15_24hr_Wire+10%inoc+DMSO_7_A-F"	7.1	3	42	0.1	1e+06	4.2e+08
"24-8.1"	"2024-05-15_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	1	196	0.1	1e+06	1.96e+09
"24-8.1"	"2024-05-15_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	2	209	0.1	1e+06	2.09e+09
"24-8.1"	"2024-05-15_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	3	189	0.1	1e+06	1.89e+09
"72-5.1"	"2024-05-17_72hr_Wire+10%inoc_5_A-F"	5.1	1	5	0.1	1e+06	5e+07
"72-5.1"	"2024-05-17_72hr_Wire+10%inoc_5_A-F"	5.1	2	2	0.1	1e+06	2e+07
"72-5.1"	"2024-05-17_72hr_Wire+10%inoc_5_A-F"	5.1	3	7	0.1	1e+06	7e+07
"72-6.1"	"2024-05-17_72hr_NoWire+10%inoc_6_A-F"	6.1	1	582	0.1	1e+06	5.82e+09
"72-6.1"	"2024-05-17_72hr_NoWire+10%inoc_6_A-F"	6.1	2	553	0.1	1e+06	5.53e+09
"72-6.1"	"2024-05-17_72hr_NoWire+10%inoc_6_A-F"	6.1	3	535	0.1	1e+06	5.35e+09
"72-7.1"	"2024-05-17_72hr_Wire+10%inoc+DMSO_7_A-F"	7.1	1	71	0.1	1e+06	7.1e+08
"72-7.1"	"2024-05-17_72hr_Wire+10%inoc+DMSO_7_A-F"	7.1	2	62	0.1	1e+06	6.2e+08
"72-7.1"	"2024-05-17_72hr_Wire+10%inoc+DMSO_7_A-F"	7.1	3	59	0.1	1e+06	5.9e+08
"72-8.1"	"2024-05-17_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	1	281	0.1	1e+06	2.81e+09
"72-8.1"	"2024-05-17_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	2	235	0.1	1e+06	2.35e+09
"72-8.1"	"2024-05-17_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	3	230	0.1	1e+06	2.3e+09
"168-5.1"	"2024-05-21_168hr_Wire+10%inoc_5_A-F"	5.1	1	0	0.1	1e+05	0
"168-5.1"	"2024-05-21_168hr_Wire+10%inoc_5_A-F"	5.1	2	3	0.1	1e+05	3e+06
"168-5.1"	"2024-05-21_168hr_Wire+10%inoc_5_A-F"	5.1	3	2	0.1	1e+05	2e+06
"168-6.1"	"2024-05-21_168hr_NoWire+10%inoc_6_A-F"	6.1	1	553	0.1	1e+06	5.53e+09
"168-6.1"	"2024-05-21_168hr_NoWire+10%inoc_6_A-F"	6.1	2	530	0.1	1e+06	5.3e+09
"168-6.1"	"2024-05-21_168hr_NoWire+10%inoc_6_A-F"	6.1	3	506	0.1	1e+06	5.06e+09
"168-7.1"	"2024-05-21_168hr_Wire+10%inoc+DMSO_7_A-F"	7.1	1	56	0.1	1e+05	5.6e+07
"168-7.1"	"2024-05-21_168hr_Wire+10%inoc+DMSO_7_A-F"	7.1	2	69	0.1	1e+05	6.9e+07
"168-7.1"	"2024-05-21_168hr_Wire+10%inoc+DMSO_7_A-F"	7.1	3	61	0.1	1e+05	6.1e+07
"168-8.1"	"2024-05-21_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	1	277	0.1	1e+06	2.77e+09
"168-8.1"	"2024-05-21_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	2	213	0.1	1e+06	2.13e+09
"168-8.1"	"2024-05-21_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	3	313	0.1	1e+06	3.13e+09
"0-5.3-B"	"2024-05-28_0hr_Wire+10%inoc_5_A-F"	5.3	1	506	0.1	1e+05	5.06e+08
"0-5.3-B"	"2024-05-28_0hr_Wire+10%inoc_5_A-F"	5.3	2	530	0.1	100001	530005300
"0-5.3-B"	"2024-05-28_0hr_Wire+10%inoc_5_A-F"	5.3	3	393	0.1	100002	393007860
"0-6.3-B"	"2024-05-28_0hr_NoWire+10%inoc_6_A-F"	6.3	1	475	0.1	100003	475014250
"0-6.3-B"	"2024-05-28_0hr_NoWire+10%inoc_6_A-F"	6.3	2	467	0.1	100004	467018680
"0-6.3-B"	"2024-05-28_0hr_NoWire+10%inoc_6_A-F"	6.3	3	408	0.1	100005	408020400
"0-7.3-B"	"2024-05-28_0hr_Wire+10%inoc+DMSO_7_A-F"	7.3	1	443	0.1	100006	443026580
"0-7.3-B"	"2024-05-28_0hr_Wire+10%inoc+DMSO_7_A-F"	7.3	2	402	0.1	100007	402028140
"0-7.3-B"	"2024-05-28_0hr_Wire+10%inoc+DMSO_7_A-F"	7.3	3	339	0.1	100008	339027120
