"Sample_name"	"Comment"	"Flask_number"	"Replicate_number"	"Colony_count"	"Volume_plated_mL"	"Dilution_applied"	"CFU_mL"	"Time"	"Wire_treatment"	"Strain"	"DMSO_treatment"	"Technical_mean_CFU_mL"	"Technical_stdev_CFU_mL"	"Biological_mean_CFU_mL"	"Biological_stdev_CFU_mL"
"0-5.1"	"2024-05-14_0hr_Wire+10%inoc_5_A-F"	5.1	1	358	0.1	1e+05	3.58e+08	0	"Wire included"	"Wild type"	"No DMSO"	335003260	21281764.2822112	429090466.666667	72626998.5976493
"0-5.1"	"2024-05-14_0hr_Wire+10%inoc_5_A-F"	5.1	2	316	0.1	100001	316003160	0	"Wire included"	"Wild type"	"No DMSO"	335003260	21281764.2822112	429090466.666667	72626998.5976493
"0-5.1"	"2024-05-14_0hr_Wire+10%inoc_5_A-F"	5.1	3	331	0.1	100002	331006620	0	"Wire included"	"Wild type"	"No DMSO"	335003260	21281764.2822112	429090466.666667	72626998.5976493
"0-6.1"	"2024-05-14_0hr_NoWire+10%inoc_6_A-F"	6.1	1	409	0.1	100003	409012270	0	"No wire"	"Wild type"	"No DMSO"	403349413.333333	8959686.76866738	447778691.666667	48418409.6991391
"0-6.1"	"2024-05-14_0hr_NoWire+10%inoc_6_A-F"	6.1	2	408	0.1	100004	408016320	0	"No wire"	"Wild type"	"No DMSO"	403349413.333333	8959686.76866738	447778691.666667	48418409.6991391
"0-6.1"	"2024-05-14_0hr_NoWire+10%inoc_6_A-F"	6.1	3	393	0.1	100005	393019650	0	"No wire"	"Wild type"	"No DMSO"	403349413.333333	8959686.76866738	447778691.666667	48418409.6991391
"0-7.1"	"2024-05-14_0hr_Wire+10%inoc+DMSO_7_A-F"	7.1	1	343	0.1	100006	343020580	0	"Wire included"	"Wild type"	"DMSO"	347690990	11719180.7747683	371192468.333333	25744579.6357712
"0-7.1"	"2024-05-14_0hr_Wire+10%inoc+DMSO_7_A-F"	7.1	2	361	0.1	100007	361025270	0	"Wire included"	"Wild type"	"DMSO"	347690990	11719180.7747683	371192468.333333	25744579.6357712
"0-7.1"	"2024-05-14_0hr_Wire+10%inoc+DMSO_7_A-F"	7.1	3	339	0.1	100008	339027120	0	"Wire included"	"Wild type"	"DMSO"	347690990	11719180.7747683	371192468.333333	25744579.6357712
"0-8.1"	"2024-05-14_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	1	716	0.1	100009	716064440	0	"No wire"	"Wild type"	"DMSO"	476713016.666667	210387669.630968	380704133.333333	105172462.245097
