"sample"	"k"	"n0"	"r"	"t_mid"	"t_gen"	"auc_l"	"auc_e"	"sigma"	"note"	"Cobalt_concentration_uM"	"Replicate"	"Strain"	"Medium"	"Cobalt_concentration_uM_ordered"	"Cobalt_concentration_uM_numeric"
"0 uM rep 1"	0.934621793523085	0.0562777616095103	0.43532186567178	6.31197077473054	1.59226364494762	80.8871869645188	80.8657500000001	0.110961160632786	""	"0"	"1"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"0"	0
"0 uM rep 2"	0.942544748340138	0.064413844459814	0.442279939376045	5.90681796098384	1.56721370075662	81.9383653201278	81.9132499999999	0.124718585143588	""	"0"	"2"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"0"	0
"0 uM rep 3"	0.942382939972005	0.0633527983319918	0.44749467660715	5.87738859713887	1.54895067314611	81.9563071730377	81.94725	0.0950933602592826	""	"0"	"3"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"0"	0
"10 uM rep 1"	0.870821603174292	0.0374584138458336	0.500514175842727	6.19810256124647	1.38487022748732	75.5124702988469	75.48975	0.109647549307655	""	"10"	"1"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"10"	10
"10 uM rep 2"	0.87361064505443	0.0427128052790056	0.479434854556796	6.19063895309695	1.44575884287911	75.7462403948329	75.71475	0.098836753482746	""	"10"	"2"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"10"	10
"10 uM rep 3"	0.871558240841639	0.0445079541757409	0.465198366668341	6.2816161662551	1.49000346996944	75.4819170516993	75.45375	0.114749920657381	""	"10"	"3"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"10"	10
"25 uM rep 1"	0.693051913318191	0.00475316834450817	0.297409657179713	16.7291526362273	2.33061423469885	52.843619750174	53.04175	0.0767124346145012	""	"25"	"1"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"25"	25
"25 uM rep 2"	0.700118902156726	0.00473710784554766	0.302800774949528	16.4762928680671	2.28911957268102	53.5599963550223	53.8145	0.0774331538624382	""	"25"	"2"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"25"	25
"25 uM rep 3"	0.699394206844581	0.00522009764243441	0.318178885166022	15.3693627317119	2.17848264883532	54.2779502746597	54.47425	0.0798919227285476	""	"25"	"3"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"25"	25
"50 uM rep 1"	0.818898644866252	0.00646494142354344	0.178717291156219	27.0462937984784	3.8784561699408	53.9731177949697	54.20675	0.0692457215272763	""	"50"	"1"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"50"	50
"50 uM rep 2"	0.814806975395932	0.00356120927053865	0.202698012240263	26.7810760408348	3.41960521910961	53.9380395558082	54.2165	0.0771348576011811	""	"50"	"2"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"50"	50
"50 uM rep 3"	0.815103270008492	0.00233507147585684	0.231752347908297	25.2528334740142	2.99089604405743	55.2108473237768	55.47375	0.090501906743159	""	"50"	"3"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"50"	50
"75 uM rep 1"	0.746408213943789	0.000419050298740875	0.192775012985403	38.8249248685418	3.59562772075876	40.4346594827178	41.116	0.0559496825969097	""	"75"	"1"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"75"	75
"75 uM rep 2"	0.751770197885712	8.64636424844516e-05	0.242285677560653	37.4365791331272	2.8608673345391	41.7705714312672	42.318	0.0567626028050627	""	"75"	"2"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"75"	75
"75 uM rep 3"	0.74766830046031	0.000171930971222737	0.225540420208005	37.1436377279059	3.07327254210439	41.7612802576362	42.31725	0.0571176345033344	""	"75"	"3"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"75"	75
"100 uM rep 1"	0.696716292534885	0.000292408250293539	0.186735154641207	41.6395233921664	3.71192656193611	35.7823696418815	36.83125	0.0624700746628057	""	"100"	"1"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"100"	100
"100 uM rep 2"	0.713977716207018	1.23278829950118e-05	0.251511658096872	43.603251795225	2.75592465893956	35.2681398716887	36.09375	0.05669393128024	""	"100"	"2"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"100"	100
"100 uM rep 3"	0.705555547229742	2.84203708944076e-05	0.244740195464109	41.3483134955997	2.83217547998402	36.443027138264	37.461	0.0668713232409738	""	"100"	"3"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"100"	100
"250 uM rep 1"	0.65570340416733	4.54452113364878e-06	0.186249785263883	63.7828093564471	3.72159989112405	19.1730055515768	21.082	0.054909364894309	""	"250"	"1"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"250"	250
"250 uM rep 2"	0.640434938785237	7.93268638684191e-10	0.302608946432742	67.7747690148306	2.29057068117451	16.1561433845436	16.74175	0.0334518282326135	""	"250"	"2"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"250"	250
"250 uM rep 3"	0.638900236535579	1.54415550309152e-09	0.283379063821582	70.0149878570492	2.44600702399228	14.6884714765472	15.55875	0.0291276725512427	""	"250"	"3"	"Pseudomonas chlororaphis aureofaciens"	"Defined"	"250"	250
