Filename,sample_type,strain,timepoint_hours,wire_presence
1.1.DD.0hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,0,Wire
1.1.DD.168hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,168,Wire
1.1.DD.24hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,24,Wire
1.1.DD.72hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,72,Wire
1.1.P.0hr.1x.2026.05.28.mzML,Sample,∆phz,0,Wire
1.1.P.168hr.1x.2026.05.28.mzML,Sample,∆phz,168,Wire
1.1.P.24hr.1x.2026.05.28.mzML,Sample,∆phz,24,Wire
1.1.P.72hr.1x.2026.05.28.mzML,Sample,∆phz,72,Wire
1.2.DD.0hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,0,Wire
1.2.DD.168hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,168,Wire
1.2.DD.24hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,24,Wire
1.2.DD.72hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,72,Wire
1.2.P.0hr.1x.2026.05.28.mzML,Sample,∆phz,0,Wire
1.2.P.168hr.1x.2026.05.28.mzML,Sample,∆phz,168,Wire
1.2.P.24hr.1x.2026.05.28.mzML,Sample,∆phz,24,Wire
1.2.P.72hr.1x.2026.05.28.mzML,Sample,∆phz,72,Wire
2.1.DD.0hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,0,NoWire
2.1.DD.168hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,168,NoWire
2.1.DD.24hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,24,NoWire
2.1.DD.72hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,72,NoWire
2.1.P.0hr.1x.2026.05.28.mzML,Sample,∆phz,0,NoWire
2.1.P.168hr.1x.2026.05.28.mzML,Sample,∆phz,168,NoWire
2.1.P.24hr.1x.2026.05.28.mzML,Sample,∆phz,24,NoWire
2.1.P.72hr.1x.2026.05.28.mzML,Sample,∆phz,72,NoWire
2.2.DD.0hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,0,NoWire
2.2.DD.168hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,168,NoWire
2.2.DD.24hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,24,NoWire
2.2.DD.72hr.1x.2026.05.28.mzML,Sample,∆phz∆hcn,72,NoWire
2.2.P.0hr.1x.2026.05.28.mzML,Sample,∆phz,0,NoWire
2.2.P.168hr.1x.2026.05.28.mzML,Sample,∆phz,168,NoWire
2.2.P.24hr.1x.2026.05.28.mzML,Sample,∆phz,24,NoWire
2.2.P.72hr.1x.2026.05.28.mzML,Sample,∆phz,72,NoWire
5.5.WT.0hr.1x.2026.05.28.mzML,Sample,Wildtype,0,Wire
5.5.WT.168hr.1x.2026.05.28.mzML,Sample,Wildtype,168,Wire
5.5.WT.24hr.1x.2026.05.28.mzML,Sample,Wildtype,24,Wire
5.5.WT.72hr.1x.2026.05.28.mzML,Sample,Wildtype,72,Wire
5.6.WT.0hr.1x.2026.05.28.mzML,Sample,Wildtype,0,Wire
5.6.WT.168hr.1x.2026.05.28.mzML,Sample,Wildtype,168,Wire
5.6.WT.24hr.1x.2026.05.28.mzML,Sample,Wildtype,24,Wire
5.6.WT.72hr.1x.2026.05.28.mzML,Sample,Wildtype,72,Wire
6.5.WT.0hr.1x.2026.05.28.mzML,Sample,Wildtype,0,NoWire
6.5.WT.168hr.1x.2026.05.28.mzML,Sample,Wildtype,168,NoWire
6.5.WT.24hr.1x.2026.05.28.mzML,Sample,Wildtype,24,NoWire
6.5.WT.72hr.1x.2026.05.28.mzML,Sample,Wildtype,72,NoWire
6.6.WT.0hr.1x.2026.05.28.mzML,Sample,Wildtype,0,NoWire
6.6.WT.168hr.1x.2026.05.28.mzML,Sample,Wildtype,168,NoWire
6.6.WT.24hr.1x.2026.05.28.mzML,Sample,Wildtype,24,NoWire
6.6.WT.72hr.1x.2026.05.28.mzML,Sample,Wildtype,72,NoWire
blank.10.2026.05.28.mzML,Blank,None,NA,NoWire
blank.11.2026.05.28.mzML,Blank,None,NA,NoWire
blank.12.2026.05.28.mzML,Blank,None,NA,NoWire
blank.13.2026.05.28.mzML,Blank,None,NA,NoWire
blank.14.2026.05.28.mzML,Blank,None,NA,NoWire
blank.15.2026.05.28.mzML,Blank,None,NA,NoWire
blank.16.2026.05.28.mzML,Blank,None,NA,NoWire
blank.17.2026.05.28.mzML,Blank,None,NA,NoWire
blank.2.2026.05.28.mzML,Blank,None,NA,NoWire
blank.3.2026.05.28.mzML,Blank,None,NA,NoWire
blank.4.2026.05.28.mzML,Blank,None,NA,NoWire
blank.5.2026.05.28.mzML,Blank,None,NA,NoWire
blank.6.2026.05.28.mzML,Blank,None,NA,NoWire
blank.7.2026.05.28.mzML,Blank,None,NA,NoWire
blank.8.2026.05.28.mzML,Blank,None,NA,NoWire
blank.9.2026.05.28.mzML,Blank,None,NA,NoWire
