metabolite,1.1.DD.0hr.1x.2026.05.28,1.1.DD.168hr.1x.2026.05.28,1.1.DD.24hr.1x.2026.05.28,1.1.DD.72hr.1x.2026.05.28,1.1.P.0hr.1x.2026.05.28,1.1.P.168hr.1x.2026.05.28,1.1.P.24hr.1x.2026.05.28,1.1.P.72hr.1x.2026.05.28,1.2.DD.0hr.1x.2026.05.28,1.2.DD.168hr.1x.2026.05.28,1.2.DD.24hr.1x.2026.05.28,1.2.DD.72hr.1x.2026.05.28,1.2.P.0hr.1x.2026.05.28,1.2.P.168hr.1x.2026.05.28,1.2.P.24hr.1x.2026.05.28,1.2.P.72hr.1x.2026.05.28,2.1.DD.0hr.1x.2026.05.28,2.1.DD.168hr.1x.2026.05.28,2.1.DD.24hr.1x.2026.05.28,2.1.DD.72hr.1x.2026.05.28,2.1.P.0hr.1x.2026.05.28,2.1.P.168hr.1x.2026.05.28,2.1.P.24hr.1x.2026.05.28,2.1.P.72hr.1x.2026.05.28,2.2.DD.0hr.1x.2026.05.28,2.2.DD.168hr.1x.2026.05.28,2.2.DD.24hr.1x.2026.05.28,2.2.DD.72hr.1x.2026.05.28,2.2.P.0hr.1x.2026.05.28,2.2.P.168hr.1x.2026.05.28,2.2.P.24hr.1x.2026.05.28,2.2.P.72hr.1x.2026.05.28,5.5.WT.0hr.1x.2026.05.28,5.5.WT.168hr.1x.2026.05.28,5.5.WT.24hr.1x.2026.05.28,5.5.WT.72hr.1x.2026.05.28,5.6.WT.0hr.1x.2026.05.28,5.6.WT.168hr.1x.2026.05.28,5.6.WT.24hr.1x.2026.05.28,5.6.WT.72hr.1x.2026.05.28,6.5.WT.0hr.1x.2026.05.28,6.5.WT.168hr.1x.2026.05.28,6.5.WT.24hr.1x.2026.05.28,6.5.WT.72hr.1x.2026.05.28,6.6.WT.0hr.1x.2026.05.28,6.6.WT.168hr.1x.2026.05.28,6.6.WT.24hr.1x.2026.05.28,6.6.WT.72hr.1x.2026.05.28
501.08695@1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.5,0,0,0,0,0,0,0,0,0,0,0,381.2,0,0,0,0,0,669.1,0,306.9,0,750.5,244.3,537.5,0,0,0,0,0,935.3,0,0,0
213.98011@1.11,0,0,0,0,759.8,0,0,784.3,0,0,0,0,0,2304,1655,267.3,0,0,0,0,2551,2581,0,0,0,0,0,0,2179,1099,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427.06703@1.11,0,0,0,0,0,0,0,1137,0,0,0,0,0,0,660.6,1332,0,0,0,0,0,551.4,0,0,245,0,422.4,0,405.4,957.4,1120,0,685,1455,1209,747.3,545.8,454.6,1694,0,0,2113,0,0,768.5,0,1029,1237
401.88881@1.12,0,0,0,0,172.2,0,0,0,0,0,0,0,197.2,0,0,0,216,0,0,0,0,0,0,0,164.2,0,0,0,308.8,0,0,0,242.9,0,0,0,171.4,0,0,0,242.5,0,0,0,317.3,0,0,0
211.98994@1.12,0,0,0,0,1971,3191,2755,0,0,0,0,0,0,6483,3666,0,0,0,0,0,5661,5852,3468,3037,0,0,0,0,10600,2806,2835,2725,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279.99109@1.14,0,0,0,0,0,1152,138.5,0,0,0,0,0,0,656.9,791.2,0,0,0,0,0,0,125.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471.01576@1.15,0,0,0,0,0,244.6,0,0,0,0,0,0,0,0,207.7,467.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.9,0,0,0,0,0,0,0,0,0
379.87443@1.15,1937,0,0,125.2,1424,0,168.6,136.7,1990,0,0,0,475.9,0,0,145.2,1756,0,0,0,1062,0,0,0,1739,0,0,0,221.9,0,0,0,0,0,139.3,0,1469,143.6,0,0,537.9,0,0,0,1550,0,127.4,0
397.07111@1.15,940.9,0,0,0,0,0,0,0,2797,0,0,0,612.2,0,0,0,2482,0,0,0,0,0,0,0,1502,0,0,0,962.2,0,0,0,0,0,0,0,0,0,0,0,292.1,0,0,0,0,0,0,0
310.12634@1.15,0,0,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274.87289@1.16,2541,0,0,260.4,1836,0,294.9,357.2,2285,288.5,298.1,0,0,403.5,389.7,222.2,2497,225.7,0,0,1222,0,0,0,2298,244.8,160.8,212.1,603.3,0,0,0,872.5,270,0,0,1012,433.7,0,0,887.3,0,0,0,0,0,0,0
381.08601@1.16,3912,651.3,0,564.1,0,0,0,369.2,4834,1875,2144,5536,763,0,226.5,1550,4781,0,208.8,243,0,0,0,0,4063,287.6,0,192.4,1053,0,0,0,1070,268.2,338.3,563.6,0,0,716.2,257.4,1350,0,0,0,512.5,0,0,0
382.09351@1.16,394.1,0,0,0,0,0,0,0,526.1,234,271.7,643.1,0,0,0,294.6,703.6,0,0,0,0,0,0,0,566.5,0,0,0,118.1,0,0,0,0,0,0,0,0,0,0,0,190.6,0,0,0,0,0,0,0
407.07121@1.16,0,0,0,0,0,0,0,0,1280,0,0,0,614.2,0,0,0,1600,0,0,0,0,0,0,0,375.9,0,0,0,2877,0,0,0,1390,0,0,0,0,0,0,0,427.2,0,0,0,1427,0,0,0
101.11347@1.19,0,0,0,0,0,2822,0,0,0,0,0,0,2564,2902,2788,0,0,0,0,0,2732,2695,2923,2900,0,0,0,0,2576,3595,3472,3372,5975,3708,7059,4294,5469,4887,5002,5267,5457,0,0,0,3796,0,4165,0
254.95646@1.18,279.7,486.2,688,936.5,286.2,1012,893.4,1020,1602,920.3,1681,2681,332.6,265.2,1184,3324,857.8,140.4,0,0,0,0,0,0,996.7,566,0,602.8,0,0,0,0,981.7,602.8,317.5,711.1,295.9,269.1,1136,393.5,972.7,0,0,0,0,0,0,0
455.05392@1.17,0,0,0,0,0,125.9,0,166.4,0,0,194,235.3,0,0,0,316.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600.92376@1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.3,539.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.98124@1.17,217.7,2561,0,910.1,212.6,1494,978.8,1350,216.3,707.3,1880,1758,0,909.1,2202,2061,285.1,0,0,0,0,0,0,0,194.8,0,0,0,300.7,0,0,0,271.3,715.7,1396,0,143.1,0,0,1136,0,0,0,0,249.1,0,0,0
187.07002@1.17,3994,0,0,0,2037,0,401.9,460.1,9912,0,0,0,2206,212.6,0,1201,10010,0,0,0,547.7,0,0,0,7267,193.4,0,367.3,1638,236.9,283.4,0,3808,193.6,365.9,0,2049,0,417.6,324.4,3897,0,0,0,2905,0,0,0
270.92395@1.17,1111,373.9,433.2,386.5,669,667.8,389.9,556.5,6047,391.3,912.9,1666,2142,536.1,436.5,1971,6557,0,0,161.2,268.1,0,0,0,3486,169.8,0,0,2365,194.3,159,145.5,2595,488.5,428.5,478.6,466.9,1358,1059,396.2,1897,0,161.5,173.3,2555,0,0,0
391.10555@1.17,0,0,0,0,0,0,0,0,1647,0,0,0,452.7,0,0,0,2262,0,0,0,0,0,0,0,577.8,0,0,0,1055,0,0,0,1624,0,0,0,0,0,0,0,597.2,0,0,0,1423,0,0,0
499.93654@1.19,0,0,0,0,0,0,0,0,0,0,191.5,0,0,0,448.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325.04975@1.18,0,0,0,0,0,0,173.8,0,372.6,0,0,0,247.7,0,305.2,0,452.9,0,0,0,0,0,0,0,267.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.9,0,0,0,385.2,0,0,0
385.08163@1.17,0,0,0,0,0,0,0,0,525.2,0,0,0,302.4,0,0,0,619.7,0,0,0,0,0,0,0,435.6,0,0,0,0,0,0,0,425.4,0,0,0,0,0,0,0,286,0,0,0,665.1,0,0,0
169.02824@1.17,849.5,0,0,0,609.1,0,197.2,370.1,1932,0,1168,0,340.5,0,0,266.8,1543,0,0,0,207.5,131.5,0,0,1333,0,0,0,0,0,0,0,776.4,0,0,209.2,525.3,204.4,316.2,179.4,857,0,0,0,586.1,0,0,0
351.04993@1.16,140.1,215,0,0,0,0,0,0,0,299.6,306.4,508.9,0,0,0,623.8,0,0,0,0,0,0,0,0,195.8,0,0,0,0,0,0,0,0,146.4,0,0,0,0,276.2,122.2,0,0,0,0,0,0,0,0
542.93428@1.18,0,0,0,0,0,218.6,221.8,150,0,0,0,0,0,291,191.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.4,317.7,321.8,0,456.5,244.6,0,0,0,0,0,0,0,0,0
203.0075@1.18,3168,480,464.4,622.4,2558,1125,549.1,1163,7823,518.6,617.6,495,2789,958,1070,504.1,8442,0,0,0,706.2,0,0,0,4579,0,0,0,3989,0,0,0,5257,447.8,540.4,937.9,2376,592.8,495.2,912.4,3827,0,0,0,4452,0,0,0
513.0672@1.17,0,0,193.9,185.8,0,0,0,0,864.4,0,0,346,290.7,0,133,611.8,432.3,0,0,0,0,0,0,0,266.7,0,0,0,547.9,0,0,0,475.1,0,0,0,0,0,228.6,128.1,215.5,0,0,0,406.2,0,0,0
394.87664@1.19,0,223.8,0,290.2,0,227.9,0,235.7,0,231.1,187.4,0,0,318.5,243.9,0,165.3,0,0,0,0,0,0,0,268.9,0,0,0,0,0,0,0,228.9,833.7,627.1,808.3,0,791.4,249.5,265.3,0,0,0,0,183.5,0,0,0
234.93316@1.19,359.2,0,0,0,400.1,203.8,0,313.8,1911,0,321.1,0,0,258,0,0,683,339.6,0,288.7,172.7,0,0,212,1365,0,0,0,652.1,0,397.8,210.4,937.1,259.4,282.6,274.6,0,218.3,242.5,255.4,995.8,0,0,191.4,703.3,0,0,0
310.97583@1.19,538.8,0,0,0,0,0,0,0,1167,0,211.2,154.7,0,140,325.1,244.6,1229,0,0,0,0,0,0,0,1164,0,0,0,0,0,0,0,902.8,0,147.6,170.5,261.9,187.2,0,160.2,571.2,0,0,0,490.6,0,0,0
293.03159@1.18,277,0,304,0,0,133.7,1122,0,853.7,0,0,0,0,0,1360,0,472.9,0,0,0,0,0,0,0,843.4,0,0,0,209.9,0,0,0,0,0,544.5,150,0,106.7,342.5,0,0,0,0,0,0,0,0,0
307.02044@1.19,0,0,0,0,119.9,0,0,0,1050,0,0,0,205.7,0,127.2,291.2,854.9,0,0,0,0,0,0,0,425.8,0,0,0,195.9,0,0,0,646,0,0,0,0,0,0,0,259.9,0,0,0,397,0,0,0
155.95539@1.19,2487,0,792.3,616.3,0,629.4,0,0,1628,0,983,580.3,895.6,991.2,617.2,528.5,3663,0,0,164.8,0,0,221.8,123.7,3176,0,0,0,2064,0,0,231.4,972.6,703.3,0,823.7,0,0,611.5,745.4,1790,0,0,0,2178,184,0,0
464.99146@1.18,0,379,346.3,446.3,0,565.4,319.8,601.6,0,361.2,577.8,723.3,0,453.4,316.8,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,648.5,689.9,0,665.2,531.9,677.9,0,0,0,0,0,0,0,0
422.82374@1.19,0,0,202.8,0,217.7,0,0,0,961.4,0,127.7,0,737.9,135.1,0,199.8,1103,0,0,119.6,142.4,0,144.5,164,715.3,0,0,0,760.1,0,0,0,866.3,0,194.8,0,0,180.6,0,0,650.5,0,0,0,897.7,0,0,0
119.12447@1.19,0,913.4,0,1256,2628,6839,2724,2387,1826,0,0,1401,6657,6722,6388,2586,1633,0,0,0,6208,6590,6992,6774,2051,1624,0,0,6520,6734,7199,6889,12060,9005,10900,10460,11050,10310,10640,14100,12980,4458,5966,4277,16440,9402,10330,8552
452.023@1.18,0,0,0,0,0,0,0,0,472.2,0,0,0,0,0,0,0,385.3,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859.2137@1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.4,174.1,0,0,0,0,0,0,0,0
374.92019@1.19,0,265,267.3,1137,120,490.7,258.6,342.4,131.5,833,1040,695.3,0,346.9,256.6,598.5,193.8,0,0,0,0,0,0,0,188.9,0,0,142.5,177.2,0,0,0,0,436.8,617.8,545.8,0,491,394.7,634.4,0,0,0,0,0,0,0,0
443.9943@1.2,0,0,262.8,0,0,189.2,376.2,183,0,0,458.5,0,0,0,874.4,355.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.8,156.8,0,113.8,525.9,0,0,0,0,0,0,0,0,0
252.93922@1.19,778.8,436.1,405.5,0,613.2,0,442.9,0,2628,434.1,406.7,482.5,1105,1073,378.5,1410,2556,0,0,0,0,0,0,0,1633,0,0,0,1570,652.8,980,0,1767,0,0,472.7,559.4,473.7,402.4,373.2,1117,0,192.6,0,1993,0,0,0
283.002@1.19,688.3,0,0,0,319.3,0,118,0,883.1,0,0,0,218.4,0,218.8,0,898.5,0,0,0,0,0,0,0,742.8,0,0,0,201.5,0,0,0,226.5,0,0,0,264.2,0,0,217.6,319.3,0,0,0,0,0,0,0
233.94603@1.19,1559,204.6,0,0,1296,166.9,0,164.6,3488,185.2,201.1,200.6,1378,241.4,0,0,3778,0,0,0,668.8,0,0,0,2562,0,0,0,1616,0,0,0,1775,164,0,207.8,1239,257.9,0,0,2571,137.9,0,0,2942,0,0,0
452.9741@1.19,126.2,0,0,0,0,0,0,0,998.5,0,170.6,1336,304.4,0,0,155,943.6,0,0,0,0,0,0,0,477.1,0,0,0,808.2,0,0,0,572.8,0,124.2,0,0,0,0,0,305.7,0,0,0,614.3,0,0,0
352.96356@1.2,129.9,2105,858.8,0,0,860,997.9,826.8,212.8,1253,1933,1253,273,1148,793.2,1716,197.5,0,0,0,0,0,0,0,230.7,0,0,0,0,0,0,0,143.6,776.6,1046,1235,0,1048,1051,853.6,0,0,0,0,0,0,0,0
443.00748@1.19,0,649.6,987.4,556.4,0,591,489.6,458.9,0,1434,931,830.9,0,594.7,315.4,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.7,942.5,873.2,0,637.9,660.8,791,0,0,0,0,0,0,0,0
385.91921@1.19,130.3,0,0,0,0,0,0,0,0,0,371.7,0,0,0,717.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5,0,0,147.6,0,0,0,0,225,0,0,0
252.14283@1.19,735.3,640.3,2015,552.4,931.8,2444,2243,1026,1134,909.4,907.7,967.2,1356,807.1,0,3028,2970,786.7,752,769.5,490.1,517.5,0,446.2,1240,0,0,0,4103,499,769.7,562.4,0,627.7,710.9,650.4,548.9,739.5,899.3,763.3,0,0,370.7,295,658.3,0,177.8,267.1
306.15766@1.18,0,0,0,0,0,0,0,0,0,0,0,0,460.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.6,0,0,0,830.7,0,0,0,285.4,0,0,0,515,0,0,0,750.4,0,0,0
154.9553@1.2,5539,0,0,0,1109,4451,4994,2245,8232,1817,2071,0,1953,1649,3899,1601,8286,0,227.1,323.1,1190,0,232,0,7363,233.8,0,0,4457,0,0,319.2,4916,3208,4915,5202,3604,4703,4884,3237,4296,0,176.3,0,4920,268.6,266.7,227.5
