"V1"	"fasta"	"scaffold"	"gene_position"	"start_position"	"end_position"	"strandedness"	"rank"	"ko_id"	"kegg_hit"	"uniref_id"	"uniref_hit"	"uniref_taxonomy"	"uniref_RBH"	"uniref_identity"	"uniref_bitScore"	"uniref_eVal"	"peptidase_id"	"peptidase_family"	"peptidase_hit"	"peptidase_RBH"	"peptidase_identity"	"peptidase_bitScore"	"peptidase_eVal"	"pfam_hits"	"cazy_ids"	"cazy_hits"	"cazy_subfam_ec"	"cazy_best_hit"	"heme_regulatory_motif_count"
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1	1	2010	1	"B"	"K03656"	"ATP-dependent DNA helicase Rep [EC:5.6.2.4]"	"A0A5E7KRV8_PSEFL"	"UniRef90_A0A5E7KRV8 ATP-dependent DNA helicase Rep n=1021 Tax=cellular organisms TaxID=131567 RepID=A0A5E7KRV8_PSEFL"	"cellular organisms"	TRUE	0.954	1343	0	""	""	""	NA	NA	NA	NA	"UvrD/REP helicase N-terminal domain [PF00580.25]; UvrD-like helicase C-terminal domain [PF13361.10]; UvrD-like helicase C-terminal domain [PF13538.10]; AAA domain [PF13245.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_2"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	2	2113	2682	1	"B"	"K03816"	"xanthine phosphoribosyltransferase [EC:2.4.2.22]"	"XPT_PSEF5"	"UniRef90_Q4K3U3 Xanthine phosphoribosyltransferase n=616 Tax=Bacteria TaxID=2 RepID=XPT_PSEF5"	"Bacteria"	TRUE	0.887	351	2.586e-107	""	""	""	NA	NA	NA	NA	"Phosphoribosyl transferase domain [PF00156.31]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_3"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	3	2786	4711	-1	"B"	""	""	"A0A0C5E9M8_9PSED"	"UniRef90_A0A0C5E9M8 Acetyl-CoA hydrolase/transferase C-terminal domain-containing protein n=61 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5E9M8_9PSED"	"Pseudomonadaceae"	TRUE	0.91	1217	0	""	""	""	NA	NA	NA	NA	"Acetyl-CoA hydrolase/transferase C-terminal domain [PF13336.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_4"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	4	4846	5271	-1	"C"	""	""	"A0A560YZN5_9PSED"	"UniRef90_A0A560YZN5 Cytochrome c5 n=3 Tax=Pseudomonas TaxID=286 RepID=A0A560YZN5_9PSED"	"Pseudomonas"	FALSE	0.925	275	5.461e-82	""	""	""	NA	NA	NA	NA	"Cytochrome C oxidase, cbb3-type, subunit III [PF13442.10]"	""	""	""	""	1
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_5"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	5	5443	5991	-1	"B"	"K14056"	"HTH-type transcriptional regulator, repressor for puuD"	"A0A5E6WB52_PSEFL"	"UniRef90_A0A5E6WB52 HTH-type transcriptional regulator PuuR n=500 Tax=Bacteria TaxID=2 RepID=A0A5E6WB52_PSEFL"	"Bacteria"	TRUE	0.926	355	7.921e-109	""	""	""	NA	NA	NA	NA	"Cupin domain [PF07883.15]; Helix-turn-helix domain [PF12844.11]; Helix-turn-helix [PF01381.26]; Mannose-6-phosphate isomerase [PF01050.22]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_6"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	6	6120	7196	-1	"B"	"K01775"	"alanine racemase [EC:5.1.1.1]"	"A0A0C5ETJ0_9PSED"	"UniRef90_A0A0C5ETJ0 Alanine racemase n=45 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5ETJ0_9PSED"	"Pseudomonadaceae"	TRUE	0.913	681	3.394e-218	""	""	""	NA	NA	NA	NA	"Alanine racemase, C-terminal domain [PF00842.25]; Alanine racemase, N-terminal domain [PF01168.24]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_7"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	7	7288	7641	-1	"C"	""	""	"A0A5E7UEG5_PSEFL"	"UniRef90_A0A5E7UEG5 2-iminobutanoate/2-iminopropanoate deaminase n=187 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A5E7UEG5_PSEFL"	"Pseudomonadaceae"	FALSE	0.903	223	3.012e-64	""	""	""	NA	NA	NA	NA	"Endoribonuclease L-PSP [PF01042.25]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_8"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	8	7613	8914	-1	"B"	"K00285"	"D-amino-acid dehydrogenase [EC:1.4.5.1]"	"A0A024ECR6_9PSED"	"UniRef90_A0A024ECR6 D-amino acid dehydrogenase n=10 Tax=Pseudomonas TaxID=286 RepID=A0A024ECR6_9PSED"	"Pseudomonas"	TRUE	0.914	831	1.126e-268	""	""	""	NA	NA	NA	NA	"FAD dependent oxidoreductase [PF01266.28]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_9"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	9	9071	9559	1	"C"	"K03719"	"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"	"A0A075PD02_PSEFL"	"UniRef90_A0A075PD02 Leucine-responsive regulatory protein n=952 Tax=cellular organisms TaxID=131567 RepID=A0A075PD02_PSEFL"	"cellular organisms"	FALSE	0.941	322	9.927e-98	""	""	""	NA	NA	NA	NA	"Lrp/AsnC ligand binding domain [PF01037.25]; Winged helix-turn-helix DNA-binding [PF13412.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_10"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	10	9672	10025	-1	"C"	"K06940"	"uncharacterized protein"	"A0A1H6LMP0_9PSED"	"UniRef90_A0A1H6LMP0 Fe-S oxidoreductase n=37 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A1H6LMP0_9PSED"	"Pseudomonadaceae"	FALSE	0.964	240	3.79e-70	""	""	""	NA	NA	NA	NA	"Putative zinc- or iron-chelating domain [PF03692.19]"	""	""	""	""	0
