"fasta"	"scaffold"	"gene_position"	"start_position"	"end_position"	"strandedness"	"rank"	"ko_id"	"kegg_hit"	"uniref_id"	"uniref_hit"	"uniref_taxonomy"	"uniref_RBH"	"uniref_identity"	"uniref_bitScore"	"uniref_eVal"	"Gene_name"	"Corrosion_genes_id"	"Corrosion_genes_hit"	"Corrosion_genes_RBH"	"Corrosion_genes_identity"	"Corrosion_genes_bitScore"	"Corrosion_genes_eVal"	"heme_regulatory_motif_count"
"Geobacter_metallireducens_GS15"	"CP000148.1"	57	67895	70165	1	"B"	""	""	"Q39ZM0_GEOMG"	"UniRef90_Q39ZM0 Iron-sulfur cluster-binding sigma-54-dependent transcriptional regulator, FehydlgC and FeS domain-containing n=5 Tax=Geobacter TaxID=28231 RepID=Q39ZM0_GEOMG"	"Geobacter"	TRUE	0.962	1531	0	"hydA"	"Q8EAI2|Q8EAI2_SHEON"	"Q8EAI2|Q8EAI2_SHEON Periplasmic [Fe-Fe] hydrogenase large subunit HydA OS=Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1) OX=211586 GN=hydA PE=4 SV=1"	FALSE	0.207	88	3.853e-20	0
"Geobacter_metallireducens_GS15"	"CP000148.1"	146	171026	172267	1	"B"	"K10535"	"hydroxylamine dehydrogenase [EC:1.7.2.6]"	"A0A9W6LCP4_9BACT"	"UniRef90_A0A9W6LCP4 Cytochrome C n=2 Tax=Geobacter TaxID=28231 RepID=A0A9W6LCP4_9BACT"	"Geobacter"	TRUE	0.971	846	2.049e-274	"Gmet_0142"	"Q39ZD3|Q39ZD3_GEOMG"	"Q39ZD3|Q39ZD3_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0142 PE=4 SV=1"	TRUE	0.996	871	1.305e-289	8
"Geobacter_metallireducens_GS15"	"CP000148.1"	160	186383	186715	1	"C"	"K08906"	"cytochrome c6"	"Q39ZC2_GEOMG"	"UniRef90_Q39ZC2 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39ZC2_GEOMG"	"Geobacter"	FALSE	0.957	224	1.14e-64	"Gmet_0155"	"Q39ZC2|Q39ZC2_GEOMG"	"Q39ZC2|Q39ZC2_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0155 PE=3 SV=1"	FALSE	0.957	224	4.219e-71	1
"Geobacter_metallireducens_GS15"	"CP000148.1"	175	197988	199778	1	"B"	""	""	"Q39ZA7_GEOMG"	"UniRef90_Q39ZA7 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39ZA7_GEOMG"	"Geobacter"	TRUE	1	1285	0	"Gmet_0170"	"Q39ZA7|Q39ZA7_GEOMG"	"Q39ZA7|Q39ZA7_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0170 PE=4 SV=1"	TRUE	1	1285	0	9
"Geobacter_metallireducens_GS15"	"CP000148.1"	205	229709	230728	1	"B"	"K03553"	"recombination protein RecA"	"RECA_GEOSL"	"UniRef90_P62215 Protein RecA n=12 Tax=Desulfuromonadia TaxID=3031651 RepID=RECA_GEOSL"	"Desulfuromonadia"	TRUE	0.868	611	2.329e-194	"recA"	"Q8EBS0|RECA_SHEON"	"Q8EBS0|RECA_SHEON Protein RecA OS=Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1) OX=211586 GN=recA PE=3 SV=1"	TRUE	0.676	434	2.14e-139	0
"Geobacter_metallireducens_GS15"	"CP000148.1"	545	573927	574898	1	"B"	""	""	"Q39Y97_GEOMG"	"UniRef90_Q39Y97 Cytochrome c n=5 Tax=Geobacter TaxID=28231 RepID=Q39Y97_GEOMG"	"Geobacter"	TRUE	0.998	683	9.962e-220	"Gmet_0534"	"Q39Y97|Q39Y97_GEOMG"	"Q39Y97|Q39Y97_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0534 PE=4 SV=1"	TRUE	0.998	683	3.647e-226	5
"Geobacter_metallireducens_GS15"	"CP000148.1"	568	597154	597966	1	"B"	""	""	"Q39Y74_GEOMG"	"UniRef90_Q39Y74 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39Y74_GEOMG"	"Geobacter"	TRUE	1	574	3.621e-183	"omcP"	"Q39Y74|Q39Y74_GEOMG"	"Q39Y74|Q39Y74_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=omcP PE=4 SV=1"	TRUE	1	574	1.329e-189	4
"Geobacter_metallireducens_GS15"	"CP000148.1"	569	597996	601106	1	"B"	""	""	"Q39Y73_GEOMG"	"UniRef90_Q39Y73 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39Y73_GEOMG"	"Geobacter"	TRUE	0.998	2186	0	"omcO"	"Q39Y73|Q39Y73_GEOMG"	"Q39Y73|Q39Y73_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=omcO PE=4 SV=1"	TRUE	0.998	2186	0	23
"Geobacter_metallireducens_GS15"	"CP000148.1"	582	613780	619326	1	"B"	""	""	"Q39Y60_GEOMG"	"UniRef90_Q39Y60 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39Y60_GEOMG"	"Geobacter"	TRUE	0.977	3806	0	"Gmet_0571"	"Q39Y60|Q39Y60_GEOMG"	"Q39Y60|Q39Y60_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0571 PE=4 SV=1"	TRUE	0.977	3806	0	26
"Geobacter_metallireducens_GS15"	"CP000148.1"	586	622606	625989	1	"B"	""	""	"Q39Y56_GEOMG"	"UniRef90_Q39Y56 Cytochrome c n=1 Tax=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) TaxID=269799 RepID=Q39Y56_GEOMG"	"Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)"	TRUE	0.971	2307	0	"Gmet_0571"	"Q39Y60|Q39Y60_GEOMG"	"Q39Y60|Q39Y60_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0571 PE=4 SV=1"	FALSE	0.622	1122	0	18
